date,region,product,channel,revenue,cost,units_sold,customer_satisfaction
2026-01-01,North,Alpha,Retail,42000,26000,210,4.2
2026-01-02,South,Beta,Online,38000,24000,195,4.0
2026-01-03,East,Gamma,Retail,44500,27500,225,4.4
2026-01-04,West,Alpha,Online,39900,25100,205,3.9
2026-01-05,North,Beta,Retail,46200,28200,236,4.5
2026-01-06,South,Gamma,Online,35100,23300,184,3.8
2026-01-07,East,Alpha,Retail,47800,28900,244,4.6
2026-01-08,West,Beta,Online,36700,23900,190,4.1
2026-01-09,North,Gamma,Retail,48900,29800,252,4.7
2026-01-10,South,Alpha,Online,40500,25700,208,4.0
2026-01-11,East,Beta,Retail,47200,28600,241,4.5
2026-01-12,West,Gamma,Online,36200,23600,188,3.9
2026-01-13,North,Alpha,Retail,49500,30100,255,4.8
2026-01-14,South,Beta,Online,37400,24200,193,4.1
2026-01-15,East,Gamma,Retail,48300,29400,249,4.6
2026-01-16,West,Alpha,Online,41200,26100,211,4.0
2026-01-17,North,Beta,Retail,50100,30500,258,4.9
2026-01-18,South,Gamma,Online,35900,23500,186,3.7
2026-01-19,East,Alpha,Retail,48700,29600,251,4.7
2026-01-20,West,Beta,Online,37100,24100,192,4.0
2026-01-21,North,Gamma,Retail,50800,30900,261,4.8
2026-01-22,South,Alpha,Online,40800,25800,209,4.1
2026-01-23,East,Beta,Retail,47600,28800,243,4.5
2026-01-24,West,Gamma,Online,36600,23700,189,3.9
2026-01-25,North,Alpha,Retail,51200,31100,263,4.9
2026-01-26,South,Beta,Online,37700,24300,194,4.0
2026-01-27,East,Gamma,Retail,49100,29800,253,4.7
2026-01-28,West,Alpha,Online,41400,26200,212,4.1
2026-01-29,North,Beta,Retail,50600,30700,259,4.8
2026-01-30,South,Gamma,Online,35400,23400,183,3.8
